HomeRegion,AcademicYear,Sex,TCAS,GPAX,NumAnwser,Status
North,0,0,2,3.61,14,MFU student
North,0,1,2,3.04,22,MFU student
North,0,0,1,3.92,16,MFU student
North,0,0,1,3.46,15,MFU student
North,0,0,2,3.4,11,MFU student
North,0,0,2,3.22,11,MFU student
North East,0,0,1,2.94,29,MFU student
North,0,0,2,3.83,13,MFU student
North,0,0,1,3.69,12,MFU student
North,0,1,2,2.52,23,MFU student
South,0,0,1,3.46,23,MFU student
North,0,0,2,3.64,10,MFU student
South,0,0,1,3.78,17,MFU student
North,0,0,1,3.63,10,MFU student
Central,0,0,1,3.250711643,26,MFU student
North,0,1,2,2.84,24,MFU student
North East,0,1,1,3.09,18,MFU student
North,0,1,2,3.28,21,MFU student
North,0,1,2,2.91,14,MFU student
North,0,0,1,2.51,24,MFU student
North,0,0,1,3.57,19,MFU student
South,0,1,1,2.88,19,MFU student
Central,0,0,2,3.22,19,MFU student
South,0,0,1,3.13,21,MFU student
North,0,1,2,2.79,13,MFU student
North,0,0,2,3.46,25,MFU student
East,0,0,1,3.33,19,MFU student
East,0,0,1,3.250711643,18,MFU student
Central,0,0,1,3.36,8,MFU student
Bangkok,0,0,1,3.3,20,MFU student
North,0,0,2,3.43,24,MFU student
North,0,0,1,3.67,17,MFU student
North East,0,0,1,3.250711643,12,MFU student
North,0,1,1,2.94,13,MFU student
East,0,0,1,3.14,17,MFU student
South,0,0,1,2.86,5,MFU student
South,0,1,1,2.64,17,MFU student
North,0,0,2,3.33,21,MFU student
South,0,0,1,3.09,14,MFU student
Central,0,1,1,3.15,18,MFU student
North East,0,0,1,3.86,17,MFU student
North,0,0,2,3.2,18,MFU student
North,0,1,1,3.64,20,MFU student
North East,0,0,1,3.68,21,MFU student
North,0,1,1,3.89,19,MFU student
North,0,0,2,3.32,18,MFU student
North,0,0,1,3.29,15,MFU student
North East,0,0,1,3.34,12,MFU student
North,0,1,1,2.93,21,MFU student
South,0,1,1,2.26,7,MFU student
North,0,1,1,3.96,12,MFU student
North East,0,0,1,3.22,18,MFU student
Bangkok,0,0,1,3.57,26,MFU student
North,0,1,1,3.81,18,MFU student
Bangkok,0,0,5,3.6,16,MFU student
South,0,0,5,3.07,19,MFU student
North,0,1,5,2.54,11,MFU student
South,0,1,5,3.18,15,MFU student
North,0,0,5,3.5,14,MFU student
North,0,1,5,2.46,17,MFU student
North,0,1,5,3.42,26,MFU student
Bangkok,0,0,5,3.3,16,MFU student
North,0,0,5,3,11,MFU student
North,0,1,5,1.96,20,MFU student
North East,0,0,5,3.31,23,MFU student
North,0,0,5,2.98,16,MFU student
Bangkok,0,1,5,3.09,13,MFU student
North,0,0,5,3.15,16,MFU student
North East,0,0,5,2.71,18,MFU student
North East,0,0,5,2.88,18,MFU student
North,0,0,5,3.02,11,MFU student
North,0,1,5,2.98,6,MFU student
North,0,1,5,3.77,20,MFU student
North,0,0,5,3.86,18,MFU student
South,0,0,5,3.23,15,MFU student
North,0,0,5,3.52,14,MFU student
South,0,0,5,3.32,31,MFU student
North,0,0,5,3.02,12,MFU student
North,0,1,2,3.92,22,MFU student
North,0,0,1,3.23,9,MFU student
South,0,1,1,2.9,13,MFU student
East,0,1,1,3.45,18,MFU student
North East,0,0,1,3.66,12,MFU student
Central,0,0,1,3.07,28,MFU student
East,0,0,1,3.19,16,MFU student
East,0,0,2,3.48,28,MFU student
North,0,0,2,2.82,9,MFU student
Bangkok,0,1,2,2.75,16,MFU student
North East,0,0,1,3.13,16,MFU student
North,0,0,2,2.34,15,MFU student
South,0,0,2,3.05,15,MFU student
North East,0,0,1,3.48,14,MFU student
North,0,0,2,3.12,21,MFU student
North East,0,0,1,3.74,10,MFU student
South,0,1,1,3.16,21,MFU student
North,0,1,1,3.69,20,MFU student
North,0,0,2,3.19,23,MFU student
Bangkok,0,1,2,3.29,21,MFU student
North,0,0,1,3.66,11,MFU student
North,0,1,5,2.99,21,MFU student
North,0,0,5,3.01,29,MFU student
North East,0,0,5,3.17,12,MFU student
South,0,0,5,3.42,12,MFU student
North East,0,0,5,3.84,13,MFU student
North,0,0,5,2.55,19,MFU student
North East,0,0,5,3.5,17,MFU student
North,0,0,5,3.43,18,MFU student
North,0,1,5,3.56,9,MFU student
Central,0,0,1,3.09,12,MFU student
South,0,1,1,2.85,19,MFU student
North,0,0,1,3.07,16,MFU student
West,0,0,2,2.88,20,MFU student
Central,0,0,5,2.19,26,MFU student
North,0,0,5,2.55,23,MFU student
North,0,0,5,3.83,14,MFU student
North East,0,0,5,3.08,8,MFU student
South,0,0,1,3.06,18,MFU student
West,0,0,2,2.96,15,MFU student
East,0,0,1,3.13,20,MFU student
North,0,1,2,2.46,21,MFU student
East,0,0,2,2.44,14,MFU student
North,0,0,2,3.06,5,MFU student
South,0,1,1,2.73,10,MFU student
North,0,1,2,2.93,17,MFU student
North East,0,0,1,2.85,30,MFU student
West,0,0,2,3.93,10,MFU student
North,0,1,1,3.64,17,MFU student
South,0,0,2,2.37,19,MFU student
Bangkok,0,1,5,2.31,14,MFU student
North,0,1,5,3.53,10,MFU student
Central,0,0,5,3.5,14,MFU student
North,0,0,5,3.02,5,MFU student
North,0,0,5,3.32,15,MFU student
East,0,0,5,3.25,5,MFU student
North,0,1,5,2.87,10,MFU student
North,0,0,5,3.51,11,MFU student
North,0,0,5,3,14,MFU student
Central,0,0,5,3.73,13,MFU student
North,0,1,5,2.28,8,MFU student
East,0,0,5,3.25,6,MFU student
North,0,0,5,4,19,MFU student
South,0,0,1,3.57,8,MFU student
Central,0,0,1,3.34,13,MFU student
Central,0,0,1,3.71,18,MFU student
North,0,0,2,3.16,14,MFU student
Central,0,1,1,3.4,19,MFU student
North,0,0,1,3.5,24,MFU student
South,0,1,1,2.82,13,MFU student
Bangkok,0,1,2,2.12,16,MFU student
Bangkok,0,1,1,3.18,29,MFU student
North,0,0,2,2.73,14,MFU student
South,0,0,1,3.49,6,MFU student
Bangkok,0,0,2,2.83,10,MFU student
North,0,0,1,3.24,16,MFU student
North,0,0,2,3.78,17,MFU student
North,0,0,1,3.18,18,MFU student
South,0,0,1,3.08,28,MFU student
North,0,0,1,3.24,11,MFU student
North,0,1,1,3.23,9,MFU student
South,0,0,1,3.08,14,MFU student
South,0,0,2,2.92,6,MFU student
North,0,0,1,2.55,11,MFU student
South,0,0,2,3.19,12,MFU student
North East,0,0,1,3.5,22,MFU student
North,0,1,1,3.36,16,MFU student
North,0,0,1,3.33,18,MFU student
North,0,0,2,3.16,10,MFU student
South,0,1,2,3.06,26,MFU student
North East,0,0,2,3.66,10,MFU student
South,0,1,1,3.35,21,MFU student
North,0,1,1,3.21,12,MFU student
Bangkok,0,0,1,3.61,20,MFU student
North,0,0,2,2.54,13,MFU student
South,0,0,2,3.31,9,MFU student
Central,0,0,1,3.4,16,MFU student
Central,0,0,1,3.34,15,MFU student
North,0,0,1,3.66,23,MFU student
Bangkok,0,0,1,3.42,17,MFU student
North,0,1,1,3.14,22,MFU student
South,0,0,1,3.01,26,MFU student
North,0,0,1,3.65,22,MFU student
South,0,1,1,3.39,25,MFU student
South,0,0,1,3.18,17,MFU student
North,0,0,2,3.7,7,MFU student
South,0,0,2,2.7,17,MFU student
North,0,0,2,2.72,13,MFU student
North,0,0,1,3.27,12,MFU student
North,0,0,2,3.01,20,MFU student
East,0,0,1,3.43,16,MFU student
North,0,0,2,3.65,16,MFU student
North,0,1,2,2.96,7,MFU student
North,0,1,1,3.46,19,MFU student
North,0,0,1,3.49,13,MFU student
Central,0,1,1,3.24,10,MFU student
North,0,0,1,3.44,23,MFU student
North,0,1,1,3.3,25,MFU student
Central,0,0,2,3.38,15,MFU student
South,0,0,2,2.94,16,MFU student
South,0,0,1,2.95,17,MFU student
North,0,1,1,2.98,15,MFU student
North,0,0,2,3.84,18,MFU student
East,0,0,1,3.47,18,MFU student
West,0,0,1,3.24,27,MFU student
Central,0,0,1,3.92,11,MFU student
North,0,0,1,3.56,12,MFU student
South,0,0,1,3.11,17,MFU student
North,0,0,2,2.98,9,MFU student
Bangkok,0,0,1,2.97,14,MFU student
North,0,0,1,3.61,23,MFU student
North,0,1,1,3.09,12,MFU student
East,0,0,2,3.99,9,MFU student
North,0,0,2,3.38,18,MFU student
South,0,0,1,3.250711643,29,MFU student
South,0,0,2,3.17,7,MFU student
Central,0,1,2,2.92,10,MFU student
West,0,0,2,3.47,14,MFU student
East,0,0,1,3.36,9,MFU student
South,0,1,2,2.91,18,MFU student
Central,0,0,2,2.83,20,MFU student
North,0,1,2,2.65,13,MFU student
South,0,1,2,2.84,15,MFU student
North East,0,1,1,2.83,17,MFU student
North,0,0,1,3.02,20,MFU student
South,0,1,1,3.18,15,MFU student
North,0,1,2,3.58,16,MFU student
North East,0,1,2,2.67,18,MFU student
Bangkok,0,0,1,3.65,19,MFU student
North,0,1,2,3.34,19,MFU student
North,0,0,1,3.02,19,MFU student
North,0,1,5,2.35,11,MFU student
North,0,0,5,3,9,MFU student
North East,0,0,5,2.63,25,MFU student
Bangkok,0,1,5,3.250711643,17,MFU student
North,0,0,5,3.71,15,MFU student
North,0,0,5,2.6,16,MFU student
North,0,1,5,3.04,5,MFU student
North East,0,1,5,3.35,22,MFU student
North,0,1,5,2.87,8,MFU student
North,0,0,5,3.4,20,MFU student
North,0,1,5,2.49,18,MFU student
North East,0,0,5,3.11,21,MFU student
North,0,1,5,2.58,15,MFU student
North,0,0,5,2.62,12,MFU student
Central,0,0,5,2.29,17,MFU student
North,0,0,1,3.46,15,MFU student
Bangkok,0,1,1,2.66,15,MFU student
North,0,1,1,3.22,23,MFU student
North East,0,0,1,3.16,15,MFU student
Central,0,0,1,3.42,21,MFU student
South,0,0,1,3.38,14,MFU student
East,0,1,1,3.15,5,MFU student
North East,0,0,1,2.47,11,MFU student
Bangkok,0,0,1,3.15,15,MFU student
North,0,0,1,3.13,22,MFU student
North,0,0,2,3.2,21,MFU student
Bangkok,0,1,1,3.24,16,MFU student
East,0,0,1,3.98,18,MFU student
Bangkok,0,0,1,3.2,18,MFU student
North East,0,0,1,3.12,25,MFU student
North,0,0,2,3.54,14,MFU student
North,0,1,2,3.37,12,MFU student
North,0,0,2,2.53,15,MFU student
North East,0,0,2,2.88,12,MFU student
North,0,0,1,3.27,16,MFU student
North,0,0,2,3.32,13,MFU student
Bangkok,0,0,1,3.48,10,MFU student
North East,0,1,2,2.89,20,MFU student
North,0,1,1,3.27,12,MFU student
South,0,1,1,2.54,19,MFU student
North,0,1,2,2.64,14,MFU student
North,0,0,1,3.56,12,MFU student
North,0,1,1,3.29,26,MFU student
North East,0,1,2,3.01,23,MFU student
North,0,0,1,2.96,17,MFU student
North,0,0,2,3.35,13,MFU student
North,0,1,2,3.15,13,MFU student
North,0,0,1,3.06,15,MFU student
North,0,1,1,2.63,18,MFU student
South,0,0,1,3,13,MFU student
South,0,0,2,3.37,13,MFU student
North,0,0,2,3.52,5,MFU student
North,0,0,1,3.16,13,MFU student
South,0,0,2,3.27,17,MFU student
Central,0,0,2,3.07,21,MFU student
South,0,1,1,3.58,14,MFU student
North,0,0,2,3.36,10,MFU student
South,0,1,2,2.37,5,MFU student
North East,0,0,1,3.1,6,MFU student
North East,0,0,2,3.14,23,MFU student
North,0,1,1,3.34,12,MFU student
South,0,1,1,3.250711643,14,MFU student
South,0,0,1,3.01,15,MFU student
South,0,0,2,3.25,19,MFU student
East,0,0,1,2.95,18,MFU student
North,0,0,1,3.86,18,MFU student
West,0,1,2,2.29,19,MFU student
North East,0,0,1,3.06,12,MFU student
South,0,0,2,3.3,26,MFU student
North,0,0,1,3.22,8,MFU student
North,0,1,5,2.49,6,MFU student
North,0,0,5,3.01,10,MFU student
West,0,0,5,3.41,12,MFU student
North,0,0,5,3.58,5,MFU student
North,0,0,5,3.05,13,MFU student
North,0,0,5,3.7,15,MFU student
North,0,1,5,3.04,24,MFU student
North,0,0,5,2.99,18,MFU student
North,0,0,5,3.08,21,MFU student
Central,0,0,5,3.31,18,MFU student
East,0,0,5,3.59,11,MFU student
North,0,0,5,3.31,13,MFU student
North East,0,0,5,2.83,15,MFU student
North,0,1,5,2.87,5,MFU student
North,0,1,5,2.63,5,MFU student
North,0,0,5,3.26,14,MFU student
South,0,1,5,3.250711643,11,MFU student
North,0,1,5,2.72,13,MFU student
North,0,0,5,3.47,16,MFU student
North,0,0,5,2.81,24,MFU student
South,0,0,5,3.35,16,MFU student
North,0,0,5,2.89,11,MFU student
Bangkok,0,0,5,3.04,10,MFU student
Bangkok,0,1,5,2.79,20,MFU student
North,0,0,5,3.09,16,MFU student
South,0,0,5,3.44,11,MFU student
North,0,1,5,2.5,24,MFU student
West,0,0,5,2.82,6,MFU student
South,0,0,5,2.83,16,MFU student
North,0,0,5,2.46,18,MFU student
North East,0,1,5,3.250711643,23,MFU student
North,0,1,5,2.83,23,MFU student
North,0,1,5,2.25,8,MFU student
West,0,0,5,2.69,18,MFU student
Bangkok,0,1,5,3,8,MFU student
North,0,0,5,3.48,22,MFU student
South,0,1,5,4,9,MFU student
South,0,1,5,2.65,18,MFU student
North,0,1,5,2.79,13,MFU student
Central,0,0,5,3.51,12,MFU student
North,0,1,5,2.92,5,MFU student
North,0,1,5,1.97,18,MFU student
North,0,1,5,2.28,18,MFU student
North,0,0,5,2.98,26,MFU student
North,0,0,5,3.75,8,MFU student
North,0,1,5,2.89,14,MFU student
South,0,1,5,2.6,11,MFU student
South,0,1,5,3.250711643,5,MFU student
North,0,0,5,2.38,17,MFU student
North,0,1,5,2.65,16,MFU student
North,0,0,5,3.96,13,MFU student
North,0,0,5,4,20,MFU student
West,0,0,2,2.74,14,MFU student
North,0,0,1,2.98,26,MFU student
North East,0,0,1,2.31,14,MFU student
North,0,1,2,3.2,15,MFU student
North,0,1,2,2.47,5,MFU student
North East,0,0,1,3.72,16,MFU student
North,0,0,1,2.59,12,MFU student
North,0,0,2,2.88,20,MFU student
South,0,0,1,3.45,26,MFU student
North,0,0,2,2.94,10,MFU student
North,0,0,1,2.88,31,MFU student
North,0,0,1,3.67,22,MFU student
Bangkok,0,0,1,3.1,17,MFU student
North,0,0,1,3.02,18,MFU student
North,0,0,2,3.17,17,MFU student
South,0,0,1,2.3,17,MFU student
Bangkok,0,0,2,2.74,20,MFU student
North,0,0,1,2.85,14,MFU student
Bangkok,0,0,1,3.37,20,MFU student
North East,0,0,1,3.74,15,MFU student
Bangkok,0,1,1,3.24,11,MFU student
South,0,0,1,2.86,12,MFU student
North East,0,0,1,3.82,19,MFU student
North East,0,0,2,3.11,11,MFU student
South,0,0,1,3.33,12,MFU student
East,0,0,2,2.99,11,MFU student
North,0,0,2,2.88,17,MFU student
North,0,0,1,3.42,12,MFU student
Bangkok,0,0,1,3.46,22,MFU student
North,0,0,1,3.76,16,MFU student
North,0,1,1,3,24,MFU student
